hour,member_casual,ride_count
0,casual,38847
0,member,32451
1,casual,24892
1,member,19975
2,casual,16634
2,member,12007
3,casual,9183
3,member,7941
4,casual,7271
4,member,8878
5,casual,11408
5,member,34201
6,casual,26523
6,member,100906
7,casual,49547
7,member,199688
8,casual,70313
8,member,256538
9,casual,70689
9,member,167126
10,casual,85418
10,member,143699
11,casual,109330
11,member,168758
12,casual,128516
12,member,190575
13,casual,131674
13,member,185299
14,casual,138529
14,member,188233
15,casual,153911
15,member,236970
16,casual,175326
16,member,334185
17,casual,190219
17,member,381720
18,casual,163420
18,member,295816
19,casual,121493
19,member,204694
20,casual,87725
20,member,141458
21,casual,74873
21,member,110585
22,casual,63226
22,member,80629
23,casual,45844
23,member,50237
